,index,RANK,PEAK,ALL_TIME_PEAK,ACTUAL_GROSS,ADJUSTED_GROSS_(IN_2022_DOLLARS),ARTIST,TOUR_TITLE,YEAR(S),SHOWS,AVERAGE_GROSS
0,0,1,1,2,780000000,780000000,TAYLOR SWIFT,THE ERAS TOUR †,2023–2024,Intermediate,13928571
1,1,2,1,7,579800000,579800000,BEYONCÉ,RENAISSANCE WORLD TOUR,2023,Intermediate,10353571
4,4,5,2,10,345675146,402844849,TAYLOR SWIFT,REPUTATION STADIUM TOUR,2018,Intermediate,6522173
2,2,3,1,2,411000000,560622615,MADONNA,STICKY & SWEET TOUR ‡[4][A],2008–2009,High,4835294
5,5,6,2,10,305158363,388978496,MADONNA,THE MDNA TOUR,2012,High,3467709
3,3,4,2,10,397300000,454751555,PINK,BEAUTIFUL TRAUMA WORLD TOUR,2018–2019, Extraorinary,2546795
